NOMBRE_CONVOCATORIA,AÑO_CONVOCATORIA,FECHA_NACIMIENTO_ASPIRANTE,GENERO_ASPIRANTE,DPTO_NACIMIENTO_ASPIRANTE,POSIBLES_INSTITUCIONES_DE_ESTUDIO,PROGRAMA_DOCTORAL,PROG_NAL_CYT,GRAN_AREA_CONOCIMIENTO_ESTUDIO,AREA_CONOCIMIENTO_ESTUDIO
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ATLANTICO,University Of South Florida - THE UNIVERSITY OF TEXAS AT AUSTIN. - Georgia Tech,Doctorado en Ingenieria Mecanica,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MECANICA
Doctorados Exterior 2010,2010,06/04/1981 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Ohio State University - Iowa State University - Michigan State University,Interdisciplinary Ph.D program in nutrition-OSU,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,NUTRICION Y DIETAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,MAGDALENA,Massachusetts Institute of Technology,Ingenieria de Sistemas,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,GEOCIENCIAS MULTIDISCIPLINARIO,CIENCIAS DE LA COMPUTACION
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Universite Paris 7 - Denis Diderot - Universite De Paris V (Rene Descartes) - Universidad Federal de Bahia,Didactique des sciences physiques et chimique,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,EDUCACION GENERAL INCLUYE CAPACITACION PEDADOGIA
Doctorados Exterior 2010,2010,07/09/1980 12:00:00 AM,MASCULINO,ATLANTICO,University of California Berkeley - Stanford University - University of California San Diego,Doctorado en Ingenieria Civil,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2014,2014,09/09/1990 12:00:00 AM,MASCULINO,NARINO,University of Leicester,Bioenginee8203ring Ph.D,Ciencia Tecnologia e Innovacion en Salud,INGENIERIA Y TECNOLOGIA,INGENIERIA MEDICA
Doctorados Exterior 2010,2010,08/03/1980 12:00:00 AM,FEMENINO,BOYACA,City University of New York - Harvard University - University of Oxford,Doctorado en Derecho,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,European Graduate School,PhD in Media and Communication,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO - Universidad Federal de Bahia - UNIVERSIDAD DE SAO PAULO,Maestria en estudios socioespaciales,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,ANTROPOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,UNIVERSIDAD AUTONOMA DE BARCELONA,Doctorado en Ciencia y Tecnologia Ambientales,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2010,2010,06/02/1987 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Universidad Autonoma de Barcelona - Universidad de Valencia - Universidad Internacional De Cataluna,Doctorado,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
Doctorados Exterior 2010,2010,06/07/1981 12:00:00 AM,MASCULINO,CALDAS,Universidad Nacional Autonoma de Mexico - UNAM - UNIVERSIDAD AUTONOMA DE BARCELONA - Universidad Complutense de Madrid,Doctorado en Ciencias Politicas Universidade Estadual de Campinas UNICAMP,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2010,2010,12/01/1985 12:00:00 AM,MASCULINO,ATLANTICO,Universidad de Vigo - universidad de las palmas de gran canaria - Universidad de Santiago de Compostela,Doctorado en Oceanografia,Ciencias del Mar y los Recursos Hidrobiologicos,GEOCIENCIAS MULTIDISCIPLINARIO,OCEANOGRAFIA HIDROLOGIA Y RECURSOS DEL AGUA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Georgia Institute of Technology - Johns Hopkins University - MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Doctorado en BioIngenieria,Ciencia Tecnologia e Innovacion en Salud,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MEDICA
Doctorados Exterior 2010,2010,03/11/1978 12:00:00 AM,FEMENINO,BOGOTA D C,Universidad Pablo de Olavide Sevilla,Neurociencias,Ciencias Basicas,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,CALDAS,Columbia University In The City of New York - University of Minnesota - Universidad De Alabama Birmingham,Neurobiology or Neuroscience,Ciencias Basicas,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2010,2010,06/07/1986 12:00:00 AM,FEMENINO,BOGOTA D C,indiana university - Columbia University New York - Universidad De Pittsburgh,Etnomusicologia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS NATURALES,OTRAS CIENCIAS SOCIALES
Doctorados Exterior 2012,2012,01/12/1987 12:00:00 AM,FEMENINO,CALDAS,Purdue University,Biomedical Engineering,Biotecnologia,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MEDICA
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,University of British Columbia,PhD in Economics,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of California Bekeley - CORNELL UNIVERSITY - University of Michigan,Ph.D. en Environmental Science Policy and Management,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS CIENCIAS AGRICOLAS,AGRONOMIA
Doctorados Exterior 2010,2010,01/02/1980 12:00:00 AM,MASCULINO,BOGOTA D C,Georgetown University - University of Pittsburgh - The University of Illinois at Urbana-Champaign,Linguistica,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,LINGUISTICA,LINGUISTICA
Doctorados Exterior 2010,2010,02/01/1981 12:00:00 AM,MASCULINO,META,UNIVERSITY OF DELAWARE - University of Pittsburgh - University of British Columbia,Doctor of Philosophy in Civil Engineering,Ciencias Basicas,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,Duke University - University Of Miami - University Of Pittsburgh,Psicologia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,PSICOLOGIA INCLUYE TERAPIAS DE APRENDIZAJE HABLA VISUAL Y OTRAS DISCAPACIDADES FISICAS Y MENTALES
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,UNIVERSITE PIERRE MENDES PARIS - Universidad Autonoma de Barcelona - Univerisdad De Paris I - La Sorbona,Ecole Doctoral Sciences de lHomme du politique et du territoire,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,ATLANTICO,University Of South Florida - University Of Texas Medical Branch Galveston - Ohio State University,Microbiology and Immunology,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2010,2010,04/07/1986 12:00:00 AM,MASCULINO,ANTIOQUIA,The University of Manchester - University of Kent at Canterbury - University of Southern California,Visual Anthropology,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,SALUD PUBLICA
Doctorados Exterior 2010,2010,10/08/1979 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,National University of Ireland Maynooth - National University of Ireland Galway - Western Michigan University,Ph.D in Psychology,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,PSICOLOGIA INCLUYE TERAPIAS DE APRENDIZAJE HABLA VISUAL Y OTRAS DISCAPACIDADES FISICAS Y MENTALES
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,delft University of Technology - The University of Nottingham - Durham University,Doctorado en Ingenieria Civil o en Hidraulica,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2010,2010,12/01/1980 12:00:00 AM,FEMENINO,BOGOTA D C,Paris VII- URMIS - Ecole des Hautes Etudes en Sciences Sociales - University of Pennsylvania,Programa en Sociologia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,SOCIOLOGIA
Doctorados Exterior 2010,2010,03/09/1983 12:00:00 AM,MASCULINO,BOGOTA D C,University of Warwick - Kings college London - University College London,Engineering PHD,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MECANICA
Doctorados Exterior 2011,2011,03/05/1987 12:00:00 AM,FEMENINO,BOGOTA D C,University of Florida,Wildlife Ecology and Conservation,Ciencias Basicas,OTRAS BIOLOGIAS,OTRAS BIOLOGIAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of Aberdeen - Lancaster University - University of Manchester,PhD en Sociologia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,SOCIOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,SANTANDER,Department Of Biosciences -Novum Karolinska Institute - Harvard Medical School -Hms- Of Harvard University - institute of nanotechnology,medicina,Biotecnologia,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2010,2010,05/04/1983 12:00:00 AM,FEMENINO,BOGOTA D C,Brandeis University - North Dakota State University - University of Montana,Ciencias farmaceuticas,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS CIENCIAS MEDICAS,FARMACOLOGIA Y FARMACIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Massachussets Institute of Technology - University of California Berkeley - Cornell University,PROGRAMA NACIONAL DE FORMACION DE INVESTIGADORES,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,GEOCIENCIAS MULTIDISCIPLINARIO,CIENCIAS DE LA COMPUTACION
Doctorados Exterior 2010,2010,08/03/1977 12:00:00 AM,FEMENINO,BOGOTA D C,Cornell University - University of California Riverside - Alberta University,Doctorado en Entomologia,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,University of California Berkeley - University of California Santa Barbara - California Institute of Technology,Doctorado en Ciencia de Materiales e Ingenieria,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS INGENIERIAS Y TECNOLOGIAS,COMPUESTOS LAMINADOS PLASTICOS REFORZADOS FIBRA SINTETICAS Y NATURALES ETC
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,CUNDINAMARCA,Ohio State University - University of California - UNIVERSITY OF ILLINOIS AT CHICAGO,Doctorado en Ciencia de los Materiales,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS INGENIERIAS Y TECNOLOGIAS,COMPUESTOS LAMINADOS PLASTICOS REFORZADOS FIBRA SINTETICAS Y NATURALES ETC
Doctorados Exterior 2010,2010,03/11/1980 12:00:00 AM,FEMENINO,BOGOTA D C,Universite de Liege,Relaciones Internacionales,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,CESAR,Universidad Politecnica de Cataluna,Ingenieria Electronica,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2010,2010,05/11/1984 12:00:00 AM,MASCULINO,NORTE DE SANTANDER,Universite De Rennes 1. Upres Ea1254 - Hec Montreal - Universite De Nantes,Doctorat En Sciences des Gestion,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
Doctorados Exterior 2010,2010,05/01/1985 12:00:00 AM,FEMENINO,BOGOTA D C,Harvard Business School - Biological Society Of Washington - Universidad De Delhi,Doctorado en quimica,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,QUIMICA ORGANICA
Doctorados Exterior 2010,2010,04/10/1982 12:00:00 AM,MASCULINO,SANTANDER,Univerdidad Politecnica de Valencia,DOCTORADO EN INGENIERIA DEL AGUA Y MEDIOAMBIENTAL U. POLITECNICA  VALENCIA,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA QUIMICA PLANTAS Y PRODUCTOS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Iowa State University - Purdue University - Cornell University,Crop Production  Physiology,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS CIENCIAS AGRICOLAS,AGRONOMIA
Doctorados Exterior 2010,2010,08/04/1983 12:00:00 AM,MASCULINO,SANTANDER,Ecole Nationale Superieure de Mecanique - Institut National Des Sciences Appliquees de Toulouse - Insa - Ecole NAtionale Superieure Darts et metiers,Ingenieria - materiales,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,SANTANDER,Univerdidad Politecnica de Valencia,Doctorado en Ingenieria del Agua y Medioambiental,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA QUIMICA PLANTAS Y PRODUCTOS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Universidad De Bristol,PhD in Computer Science,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,GEOCIENCIAS MULTIDISCIPLINARIO,CIENCIAS DE LA COMPUTACION
Doctorados Exterior 2010,2010,07/08/1983 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Colorado State University - University Of Iowa - The University of British Columbia,Hydraulic engineering,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2010,2010,05/09/1982 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Universidad De Cadiz,Tecnologias del Medio Ambiente,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA AMBIENTAL Y GEOLOGICA
Doctorados Exterior 2010,2010,07/08/1985 12:00:00 AM,FEMENINO,BOGOTA D C,London School of Hygiene and Tropical Medicine - University of Oxford - Leiden University,Enfermedades Infecciosas y Tropicales,Ciencias Basicas,OTRAS BIOLOGIAS,BIOLOGIA CELULAR Y MICROBIOLOGIA
Doctorados Exterior 2010,2010,05/02/1985 12:00:00 AM,FEMENINO,BOGOTA D C,Ecole des Hautes Etudes en Sciences Sociales - Universite De Paris V (Rene Descartes) - Universite Paris X - Nanterre,Antropologia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,ANTROPOLOGIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,NARINO,Universidad Politecnica de Valencia,DOCTORADO EN BIOTECNOLOGIA,Biotecnologia,OTRAS BIOLOGIAS,GENETICA Y HERENCIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Universidad de Barcelona - Universidad Autonoma de Madrid - UNIVERSIDAD AUTONOMA DE BARCELONA,Doctorado en Fisica,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,FISICA ATOMICA MOLECULAR Y QUIMICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,Universidad Nacional Autonoma de Mexico - Carnegie Mellon University,Doctorado en ingenieria,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,GEOCIENCIAS MULTIDISCIPLINARIO
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,Goteborg University - University of Connecticut - University of North Carolina at Chapel Hill,Medicina Oral y Patologia,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,ODONTOLOGIA CIRUGIA ORAL Y MEDICINA ORAL
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Universidad De Barcelona - UNIVERSIDAD AUTONOMA DE BARCELONA - UNIVERSIDAD AUTONOMA DE BARCELONA,biologia,Ciencia Tecnologia e Innovacion en Salud,OTRAS BIOLOGIAS,GENETICA Y HERENCIA
Doctorados Exterior 2010,2010,09/07/1981 12:00:00 AM,MASCULINO,BOGOTA D C,Imperial College London - London School of Hygiene and Tropical Medicine - University College of London,PhD epidemiologia de enfermedades infecciosas,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,SALUD PUBLICA
Doctorados Exterior 2010,2010,08/11/1980 12:00:00 AM,MASCULINO,BOGOTA D C,Universidad de Salamanca - Espana - UNIVERSIDAD AUTONOMA DE BARCELONA - Universidad Autonoma de Mexico,Nacional de formacion de investigadores generacion del Bicentenario,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2010,2010,10/09/1981 12:00:00 AM,MASCULINO,BOGOTA D C,University College London - Vanderbilt University - University Of Western Ontario,Neurociencia Cognitiva o Ciencias Cognitivas,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS NATURALES,CIENCIAS NATURALES
Doctorados Exterior 2010,2010,03/02/1978 12:00:00 AM,MASCULINO,HUILA,Lancaster University,PhD Marketing Full Time,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,HUILA,UNIVERSIDAD DE ZARAGOZA,Doctorado en Ingenieria Quimica y del Medio Ambiente,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA QUIMICA PLANTAS Y PRODUCTOS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,META,University Of Wisconsin - Madison,Medicina Veterinaria y Zootecnia,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS AGRICOLAS,CIENCIAS VETERINARIAS
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,universidad de las palmas de gran canaria - Universidad de Girona - Universidad De Alicante,Doctorado en estudios turisticos,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
Doctorados Exterior 2010,2010,12/06/1981 12:00:00 AM,MASCULINO,BOGOTA D C,The University of Illinois at Urbana-Champaign - University of California San Diego - Univerity Of California At Berkeley,Ingenieria Civil,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2010,2010,08/12/1980 12:00:00 AM,FEMENINO,NORTE DE SANTANDER,University of Connecticut - UNIVERSITY OF FLORIDA - University of Delaware,Doctorado en Ingenieria Electronica,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,NO APLICA,CORNELL UNIVERSITY - University Of Alberta - Fordham University,Doctorado en Filosofia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,FILOSOFIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Karolinska Institutet - Stanford University - Max Planck Institute for Infection Biology International Max Planck Researc,Maestria en Ciencias Bioquimica,Ciencias Basicas,OTRAS BIOLOGIAS,BIOLOGIA TEORICA MATEMATICA CRIOBIOLOGIA EVOLUTIVA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Universidad de Ciencias Agricolas de Suecia - Max Planck Institute for Chemical Ecology - Penn State University,Insect Chemical Ecology,Biotecnologia,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2010,2010,11/04/1981 12:00:00 AM,FEMENINO,ANTIOQUIA,Universidad de Leon,Responsabilidad Juridica. perspectiva multidisciplinar,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOYACA,indiana university - University Of Alabama - University Of Wyoming,Ingenieria Geologica,Investigaciones en Energia y Mineria,GEOCIENCIAS MULTIDISCIPLINARIO,GEOCIENCIAS MULTIDISCIPLINARIO
Doctorados Exterior 2010,2010,04/09/1980 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Duke University - Erasmus University Rotterdam - University of California at San Diego,Doctorado en Politica Ambiental,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2010,2010,10/07/1979 12:00:00 AM,MASCULINO,BOYACA,UNIVERSIDAD POLITECNICA DE CATALUNA - MASSACHUSETTS INSTITUTE OF TECHNOLOGY - University of Cambridge,Doctorado en Ingenieria Sismica y Dinamica Estructural,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,University of Central Florida - University Of Illinois - Texas AM University,Doctorado en Contabilidad,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
